,grasslandParkland,largeHerb,organicCarbon,roeDeer,tamworthPig,thornyScrub,woodland,ID,accepted?
0,0.881492883,1,0.950066601,1.286624145,1,7.28314129,1.020089551,1,Rejected
1,1.000079325,1.044467646,0.980033487,1.308584363,1.01794828,7.898007272,1.013033307,1,Rejected
2,1.119463374,1.089550326,1.017146612,1.336736113,1.036728749,8.540365507,1.005567158,1,Rejected
3,1.236521392,1.135158909,1.059542378,1.369015082,1.056388783,9.206862712,0.997701693,1,Rejected
4,1.348323435,1.181191844,1.106479687,1.405087702,1.07697079,9.894923326,0.989528062,1,Rejected
5,1.348323435,2,1.106479687,1.405087702,0.5,9.894923326,0.989528062,1,Rejected
6,1.542205851,1.999854898,1.162594131,1.446592044,0.515341156,10.52771133,0.986741858,1,Rejected
7,1.718699843,2.001726952,1.227585557,1.493014952,0.53147764,11.16059562,0.982623792,1,Rejected
8,1.872045877,2.005330104,1.294622601,1.540065422,0.548431936,11.78970093,0.977415157,1,Rejected
9,1.998688345,2.010463925,1.363425736,1.588081493,0.566227689,12.41431363,0.971408963,1,Rejected
10,1.998688345,1.1,1.363425736,1.588081493,1.3,12.41431363,0.971408963,1,Rejected
11,1.973143238,1.15202015,1.421515818,1.630920071,1.325177535,13.13616708,0.957770157,1,Rejected
12,1.95524024,1.204375444,1.459696279,1.66420374,1.351294192,13.87227504,0.945604179,1,Rejected
13,1.942566988,1.256913993,1.487091315,1.692860664,1.378395255,14.62221833,0.934848755,1,Rejected
14,1.93401034,1.30947957,1.506345681,1.718245058,1.406521577,15.38341771,0.925426252,1,Rejected
15,1.93401034,1.1,1.506345681,1.718245058,1.5,15.38341771,0.925426252,1,Rejected
16,1.894496589,1.155637033,1.517172494,1.740803562,1.528572477,16.18455162,0.91674026,1,Rejected
17,1.864496891,1.211814051,1.524035198,1.762047338,1.558242051,16.99938812,0.909687235,1,Rejected
18,1.841666728,1.26835387,1.529918706,1.783418194,1.5890581,17.82404012,0.904122918,1,Rejected
19,1.824525345,1.325066202,1.536436976,1.805663655,1.621055154,18.65423539,0.899927447,1,Rejected
20,1.824525345,1.8,1.536436976,1.805663655,0.18,18.65423539,0.899927447,1,Rejected
21,1.790907263,1.835114916,1.527549412,1.829071673,0.188534592,19.43281626,0.914880383,1,Rejected
22,1.760181483,1.869317127,1.526295443,1.854113594,0.197614766,20.20924782,0.931461605,1,Rejected
23,1.731698899,1.902616468,1.5304711,1.880485114,0.207277579,20.97937827,0.949663769,1,Rejected
24,1.70502032,1.935017659,1.538297591,1.90795434,0.217562161,21.73918816,0.969478818,1,Rejected
25,1.70502032,0.6,1.538297591,1.90795434,3,21.73918816,0.969478818,1,Rejected
26,1.639913162,0.650343659,1.569888708,1.93372536,2.998081692,22.69782966,0.955878438,1,Rejected
27,1.58439161,0.703813767,1.584935724,1.95619078,2.999251096,23.66216027,0.945184426,1,Rejected
28,1.536541263,0.760398827,1.593467999,1.978459826,3.003397223,24.62749512,0.937132029,1,Rejected
29,1.495503022,0.820029337,1.597489729,2.000874701,3.010389895,25.58689734,0.931477548,1,Rejected
30,1.495503022,1.2,1.597489729,2.000874701,0.5,25.58689734,0.931477548,1,Rejected
31,1.368397078,1.267690155,1.562183547,2.02297789,0.524633266,26.51571202,0.961516077,1,Rejected
32,1.26959714,1.33593064,1.538679796,2.045730762,0.550768843,27.43526436,0.994714663,1,Rejected
33,1.190749024,1.404438644,1.525830807,2.071863351,0.578502358,28.33400842,1.030883809,1,Rejected
34,1.127997532,1.472862082,1.522040231,2.100384262,0.60791291,29.20128014,1.069856507,1,Rejected
35,1.127997532,1.21,1.522040231,2.100384262,0.5,29.20128014,1.069856507,1,Rejected
36,1.042499548,1.282007755,1.5191283,2.130388142,0.526687411,30.10388594,1.114277545,1,Rejected
37,0.974002563,1.354734533,1.521888373,2.162268884,0.555069561,30.96490626,1.16202046,1,Rejected
38,0.918678354,1.427769735,1.530724789,2.196353678,0.585229345,31.77320154,1.212865217,1,Rejected
39,0.874446024,1.500648201,1.54497337,2.232102544,0.61723362,32.52048453,1.266545873,1,Rejected
40,0.874446024,1.61269319,1.54497337,2.232102544,1.848922893,32.52048453,1.266545873,1,Rejected
41,0.897410195,1.681322829,1.586045599,2.268406212,1.907392723,33.12213458,1.298529574,1,Rejected
42,0.923813732,1.748334218,1.626307474,2.304426719,1.966994162,33.64114081,1.3300514,1,Rejected
43,0.95410054,1.813305395,1.665844171,2.339239276,2.027495145,34.07716615,1.360726865,1,Rejected
44,0.988634724,1.875869198,1.704745806,2.372003888,2.088646571,34.43120243,1.390164808,1,Rejected
45,0.988634724,1.189269244,1.704745806,2.372003888,1.46813149,34.43120243,1.390164808,1,Rejected
46,0.928258536,1.268271357,1.71877287,2.402009821,1.528479515,34.94698504,1.434292227,1,Rejected
47,0.883928388,1.347967271,1.732980751,2.428734493,1.590436369,35.39931317,1.479198381,1,Rejected
48,0.852644082,1.427757788,1.749610113,2.454476758,1.653859037,35.78503962,1.524347193,1,Rejected
49,0.83270913,1.507015324,1.768544886,2.479186602,1.718558849,36.10190047,1.569178623,1,Rejected
50,0.876488711,1,1.06688572,1.440669466,1,3.366984382,1.058734225,2,Rejected
51,0.953199397,0.933129424,1.094765461,1.457418631,1.018522018,3.524059241,1.041015431,2,Rejected
52,1.015047435,0.876967383,1.125286277,1.477956941,1.037247465,3.685927991,1.023025811,2,Rejected
53,1.062865273,0.829092048,1.155796859,1.499276341,1.056158645,3.852555934,1.004871304,2,Rejected
