,largeHerb,roeDeer,tamworthPig,beaver,rabbits,fox,songbirdsWaterfowl,raptors,reptilesAmphibians,arableGrass,woodland,thornyScrub,wetland
largeHerb,0,0,0,0,0,0,0,0,0,0.096,0.56,0.06,0
roeDeer,0,0,0,0,0,0,0,0,0,0.096,0.56,0.06,0
tamworthPig,0,0,0,0,0,0,0,0,0.77,0.22,0.88,0.93,0
beaver,0,0,0,0,0,0,0,0,0,0.22,0.88,0,0.99
rabbits,0,0,0,0,0,0.77,0,0.5,0,0.22,0.88,0.93,0
fox,0,0,0,0,0.24,0,0.92,0,0,0,0,0,0
songbirdsWaterfowl,0,0,0,0,0,0.58,0,0.24,0,0,0,0,0
raptors,0,0,0,0,0.89,0,0.36,0,0.75,0,0,0,0
reptilesAmphibians,0,0,0.99,0,0,0,0,0.14,0,0,0,0,0
arableGrass,0.2,0.2,0.99,0.99,0.15,0,0,0,0,0,0,0,0
woodland,0.17,0.17,0.99,0.99,0.3,0,0.64,0.21,0,0.32,0,0.16,0
thornyScrub,0.57,0.57,0.99,0,0.9,0,0.84,0,0.44,0.58,0.63,0,0
wetland,0.55,0.55,0.99,0.99,0,0,0.84,0.95,0.86,0.59,0.8,0.79,0
